arm,x_Ez_m,z_Ez_m,Ez_real,Ez_imag,x_Hy_m,z_Hy_m,Hy_real,Hy_imag
baseline,0.079,0.0032500000000000003,4.6700512e-12,-3.377925e-12,0.07925,0.00275,-1.2091683e-14,9.794421e-15
baseline,0.0795,0.0032500000000000003,4.368037e-12,-3.76754e-12,0.07975,0.00275,-1.1230159e-14,1.0745975e-14
baseline,0.08,0.0032500000000000003,4.0352986e-12,-4.130514e-12,0.08025,0.00275,-1.0289687e-14,1.16215775e-14
baseline,0.0805,0.0032500000000000003,3.674217e-12,-4.4642883e-12,0.08075,0.00275,-9.276869e-15,1.24150805e-14
baseline,0.081,0.0032500000000000003,3.2872919e-12,-4.766518e-12,0.08125,0.00275,-8.19891e-15,1.3120909e-14
baseline,0.0815,0.0032500000000000003,2.8773013e-12,-5.035078e-12,0.08175,0.00275,-7.063367e-15,1.373404e-14
baseline,0.082,0.0032500000000000003,2.447131e-12,-5.2680863e-12,0.08225,0.00275,-5.8783002e-15,1.4250311e-14
baseline,0.0825,0.0032500000000000003,1.9997968e-12,-5.4639153e-12,0.08275,0.00275,-4.6520773e-15,1.466607e-14
baseline,0.083,0.0032500000000000003,1.5384905e-12,-5.6211836e-12,0.08325,0.00275,-3.3933144e-15,1.4978353e-14
baseline,0.0835,0.0032500000000000003,1.0664346e-12,-5.738802e-12,0.08375,0.00275,-2.1109054e-15,1.5184938e-14
baseline,0.084,0.0032500000000000003,5.86965e-13,-5.81593e-12,0.08425,0.00275,-8.139015e-16,1.5284454e-14
baseline,0.0845,0.0032500000000000003,1.03471465e-13,-5.8520623e-12,0.08475,0.00275,4.8855256e-16,1.5276314e-14
baseline,0.085,0.0032500000000000003,-3.8063964e-13,-5.846936e-12,0.08525,0.00275,1.787299e-15,1.5160438e-14
baseline,0.0855,0.0032500000000000003,-8.619574e-13,-5.8006065e-12,0.08575,0.00275,3.0731624e-15,1.4937761e-14
baseline,0.08600000000000001,0.0032500000000000003,-1.3370971e-12,-5.7134015e-12,0.08625000000000001,0.00275,4.3370954e-15,1.4609816e-14
baseline,0.08650000000000001,0.0032500000000000003,-1.8027054e-12,-5.585959e-12,0.08675000000000001,0.00275,5.570204e-15,1.4179084e-14
baseline,0.08700000000000001,0.0032500000000000003,-2.2555065e-12,-5.4191473e-12,0.08725000000000001,0.00275,6.763786e-15,1.3648446e-14
baseline,0.08750000000000001,0.0032500000000000003,-2.6923056e-12,-5.2142054e-12,0.08775000000000001,0.00275,7.9094395e-15,1.3021758e-14
baseline,0.088,0.0032500000000000003,-3.110041e-12,-4.972557e-12,0.08825,0.00275,8.9991194e-15,1.2303447e-14
baseline,0.0885,0.0032500000000000003,-3.5057582e-12,-4.695905e-12,0.08875,0.00275,1.0025131e-14,1.1498521e-14
baseline,0.089,0.0032500000000000003,-3.876705e-12,-4.3862167e-12,0.08925,0.00275,1.0980298e-14,1.0612797e-14
