tag,theta_deg,refine,plane,frequency_Hz,native_s_params,diagnostic_magnitude,diagnostic_phase_deg,analytic_reported_angle_magnitude,analytic_reported_angle_phase_deg,analytic_normal_magnitude,analytic_normal_phase_deg,magnitude_error_db_at_angle,magnitude_error_db_at_normal,phase_error_deg_at_angle,phase_error_deg_at_normal
full_theta30_r1,30.0,1,ahead_plane,5125000000.0,None,0.5915490388870239,-0.6046684980392456,0.6666406334964796,20.7246599557978,0.5997038266394055,-6.300333107345021,-1.0380205687786574,-0.11892133894972257,-21.329328476905488,5.695664586237338
full_theta30_r1,30.0,1,ahead_plane,5250000000.0,None,0.5638961791992188,-8.615954399108887,0.6665398510495572,15.203624106712965,0.598814284027931,-12.602665053323712,-1.4525393631966779,-0.5218599889878456,-23.819578195732895,3.9867109643037804
full_theta30_r1,30.0,1,ahead_plane,5375000000.0,None,0.5332465171813965,-16.324522018432617,0.6659028646322513,9.681151754389072,0.5973283062115686,-18.908995625117544,-1.9296571115143761,-0.9857013598451032,-26.005673773994424,2.5844736055121964
full_theta30_r1,30.0,1,ahead_plane,5500000000.0,None,0.5009208917617798,-23.006139755249023,0.6647269122188434,4.155152821779403,0.5952407889492942,-25.221326393283487,-2.457482339426298,-1.4984707716062642,-27.161291515359256,2.2151876997036357
full_theta30_r1,30.0,1,ahead_plane,5625000000.0,None,0.47167542576789856,-29.09598731994629,0.6630068998869418,-1.3764694657055856,0.5925445990533488,-31.541661317079782,-2.957495959368121,-1.9815558761759595,-27.719515495552375,2.44567635582182
full_theta30_r1,30.0,1,ahead_plane,5750000000.0,None,0.44476091861724854,-33.65753173828125,0.6607353892975811,-6.915822376253478,0.5892305891148854,-37.87200700043246,-3.438018997766294,-2.4431733202296697,-26.741713430562992,4.214471193615984
full_theta30_r1,30.0,1,ahead_plane,5875000000.0,None,0.43040719628334045,-37.8165168762207,0.6579025805357736,-12.465027226421107,0.5852876192998607,-44.21437247270354,-3.68564131732944,-2.669796270020889,-25.351489046746355,6.397856199536074
full_theta30_r1,30.0,1,ahead_plane,6000000000.0,None,0.42100903391838074,-40.96665573120117,0.6544962915717014,-18.026222592766313,0.5807025884298929,-50.57076836070993,-3.8323155043254853,-2.793246938725085,-22.94043492060448,9.604110847339127
full_theta45_r1,45.0,1,source_plane,4000000000.0,None,0.4867439866065979,-5.892330646514893,0.7229670895546857,42.69495848258022,0.5807025884298926,-21.429231639289984,-3.436358665177939,-1.5330633411288654,-48.58728883722974,15.536901284640464
full_theta45_r1,45.0,1,source_plane,4125000000.0,None,0.5145058035850525,-20.43700408935547,0.7279651294591043,36.41491616184902,0.5852876192998608,-30.035627527296356,-3.0144059713720237,-1.1195811912796656,-56.85191882464246,9.598624864502925
